"carat","cut","color","clarity","depth","table","price","x","y","z"
2.56,"Premium","J","SI1",61.4,58,17186,8.76,8.73,5.37
0.63,"Premium","F","VS2",58.2,61,1960,5.68,5.62,3.29
0.28,"Ideal","H","VS1",62,55,497,4.21,4.24,2.62
0.72,"Ideal","I","VS1",60.7,57,2539,5.78,5.81,3.51
0.53,"Ideal","H","VS1",61.2,56,1601,5.23,5.26,3.21
0.55,"Ideal","G","SI1",61.7,58,1417,5.27,5.29,3.26
0.76,"Ideal","E","SI2",61.6,55,2680,5.87,5.92,3.63
1.07,"Very Good","H","VS2",62.7,57,5264,6.48,6.53,4.08
1.01,"Good","G","VS2",62,61,5497,6.29,6.38,3.93
0.37,"Very Good","F","VS2",59.2,61,696,4.63,4.69,2.76
0.37,"Premium","E","VS1",61.5,55,999,4.7,4.66,2.88
1.01,"Ideal","F","SI1",62.3,55,5140,6.37,6.44,3.99
1.52,"Premium","F","VS2",62.2,58,12985,7.38,7.29,4.56
1.04,"Ideal","H","SI2",61.1,56,4368,6.66,6.6,4.05
0.71,"Very Good","D","VS2",63,58,3096,5.65,5.68,3.57
1.02,"Premium","F","I1",59.6,59,2452,6.51,6.45,3.87
1,"Very Good","E","SI1",61.4,60,6207,6.4,6.44,3.94
0.76,"Ideal","D","VS1",61.7,56,4377,5.84,5.87,3.61
1.01,"Ideal","G","SI2",61.2,57,4038,6.45,6.4,3.92
1.14,"Premium","D","SI2",62.4,58,4513,6.67,6.7,4.17
0.96,"Very Good","D","SI2",60.2,63,3480,6.3,6.36,3.81
0.73,"Very Good","E","SI1",63.2,58,2821,5.76,5.7,3.62
0.9,"Good","H","VS2",64,57,3538,6.14,6.11,3.92
0.38,"Ideal","E","SI1",61.9,55,898,4.7,4.64,2.89
0.8,"Ideal","E","SI2",61,55,2978,6,6.03,3.67
0.51,"Premium","F","VS1",61.4,58,1836,5.18,5.15,3.17
0.61,"Ideal","F","VVS2",62.2,55,2634,5.42,5.45,3.38
0.33,"Premium","G","VVS2",61.7,58,965,4.42,4.39,2.72
1.07,"Ideal","E","SI2",62.2,55,5325,6.54,6.58,4.08
1.16,"Premium","G","VS2",59.9,60,7074,6.85,6.88,4.11
1.52,"Very Good","J","VS1",62.2,55,8217,7.35,7.42,4.59
0.96,"Fair","I","VS2",56.1,60,3215,6.62,6.58,3.7
1.01,"Very Good","F","VVS1",63.4,55,8706,6.44,6.34,4.05
2.07,"Ideal","J","SI2",62.5,56,12778,8.18,8.08,5.08
0.35,"Premium","H","SI2",61.6,58,566,4.54,4.49,2.78
0.98,"Ideal","F","SI1",62.7,55,4950,6.37,6.27,3.96
0.32,"Ideal","D","SI1",61.3,55,589,4.39,4.42,2.7
0.42,"Very Good","F","VS1",60.9,58,910,4.84,4.88,2.96
0.4,"Ideal","E","VVS2",62.1,56,1238,4.73,4.7,2.93
0.9,"Very Good","H","VS2",61.6,63,3878,6.1,6.14,3.77
1.56,"Ideal","H","SI1",62.1,56,10739,7.44,7.46,4.63
0.5,"Very Good","H","VS2",61.8,63,1178,5.08,5.05,3.13
1.02,"Very Good","H","VS2",60.6,60,5393,6.55,6.48,3.95
0.33,"Premium","I","SI1",60.4,59,557,4.54,4.5,2.73
1.22,"Premium","G","SI2",60.2,58,5534,6.92,6.9,4.16
0.6,"Premium","G","SI1",61.8,60,1646,5.38,5.37,3.32
0.27,"Very Good","E","VS2",61.3,58,470,4.13,4.16,2.54
1.54,"Premium","G","SI2",59.4,60,7707,7.49,7.52,4.46
0.32,"Ideal","G","SI2",61.3,56,407,4.44,4.47,2.73
0.52,"Ideal","G","VS1",61.8,55,1689,5.17,5.21,3.21
1.17,"Ideal","I","SI1",61.7,56,6405,6.73,6.78,4.17
0.41,"Premium","E","VS1",60.4,58,1153,4.82,4.78,2.9
0.32,"Ideal","G","VS2",61.8,55,564,4.4,4.43,2.73
0.59,"Premium","H","VS2",60.2,60,1590,5.45,5.42,3.27
0.72,"Ideal","E","VS2",60.9,56,3301,5.81,5.84,3.55
1,"Premium","E","SI2",62,59,4077,6.43,6.3,3.95
0.74,"Good","G","SI1",63.6,58,1865,5.73,5.71,3.64
0.84,"Very Good","G","SI2",62.8,57,3015,6,6.04,3.78
0.32,"Ideal","I","VS1",62.3,56,471,4.37,4.4,2.73
1.01,"Premium","F","SI2",60.9,60,3297,6.45,6.42,3.91
0.73,"Ideal","G","VVS2",62.2,55,3127,5.77,5.74,3.58
0.4,"Very Good","F","VS2",63.6,56,867,4.66,4.68,2.97
0.31,"Ideal","D","VVS2",61.7,54,815,4.38,4.43,2.72
1.01,"Very Good","I","SI1",62,54,3888,6.36,6.51,3.99
0.41,"Premium","G","VS1",62.4,57,961,4.74,4.71,2.95
0.5,"Ideal","E","VS2",62.1,55,1554,5.11,5.13,3.18
0.77,"Very Good","F","VS2",62.6,55,3692,5.85,5.88,3.67
0.51,"Good","D","SI2",63.9,55,1268,5.1,5.04,3.24
1.65,"Ideal","G","VS2",61.9,57,14593,7.65,7.61,4.72
1.51,"Premium","H","VS2",62.3,59,11435,7.28,7.32,4.55
0.75,"Ideal","J","VS2",62.3,57,2025,5.84,5.81,3.63
1.01,"Very Good","I","SI1",62.9,58,4166,6.34,6.37,4
0.26,"Very Good","F","VVS1",59,61,547,4.17,4.2,2.47
1.64,"Premium","H","SI1",59.2,58,10874,7.76,7.68,4.57
0.7,"Premium","E","VS2",63,61,2415,5.64,5.51,3.51
0.8,"Very Good","I","SI2",60.7,56,2329,6.01,6.03,3.66
0.36,"Ideal","E","VS2",61.3,56,718,4.59,4.61,2.82
0.75,"Premium","G","SI1",59.4,62,1980,5.95,5.91,3.52
0.81,"Very Good","F","SI1",63.1,59,2809,5.85,5.79,3.67
0.4,"Good","E","VVS2",58.5,60,1059,4.82,4.86,2.83
0.7,"Very Good","E","VVS2",61.5,58,3429,5.67,5.71,3.5
0.41,"Ideal","H","SI1",62.4,56,876,4.78,4.74,2.97
0.56,"Ideal","F","VS2",62.6,55,1723,5.25,5.29,3.3
1.2,"Good","D","SI2",63.7,52,6344,6.72,6.68,4.27
1.51,"Premium","E","SI1",62.9,62,9647,7.31,7.21,4.57
0.9,"Ideal","H","VS2",61.6,57,4173,6.17,6.29,3.84
0.71,"Ideal","F","SI1",59.8,53,2838,5.86,5.82,3.49
0.77,"Ideal","I","VS2",61.2,59,2558,5.91,5.95,3.63
0.32,"Ideal","F","VS2",62.4,54,828,4.4,4.38,2.74
1,"Premium","E","SI1",59.1,58,4805,6.52,6.44,3.83
0.29,"Ideal","E","VVS1",62.7,55,669,4.2,4.22,2.64
0.31,"Very Good","G","VS2",63.1,56,698,4.37,4.31,2.74
1.2,"Ideal","I","VS1",61.5,59,6380,6.82,6.84,4.2
1.51,"Ideal","H","VS1",60.8,57,11856,7.43,7.46,4.53
0.3,"Ideal","F","VS1",61.6,54.7,652,4.33,4.34,2.67
0.54,"Ideal","E","SI1",62.1,56,1637,5.24,5.19,3.24
0.72,"Ideal","F","SI1",61.5,56,2870,5.72,5.79,3.54
0.37,"Ideal","F","SI1",61.3,55,583,4.61,4.65,2.84
0.9,"Very Good","E","VVS2",62.2,60,6289,6.04,6.12,3.78
0.7,"Fair","G","VS1",56.2,65,2384,5.93,5.88,3.32
0.43,"Good","F","SI1",63.6,53,739,4.79,4.83,3.06
0.52,"Ideal","G","VS1",60.9,56,1662,5.2,5.24,3.18
0.7,"Very Good","D","VS1",59.3,55,4003,5.86,5.83,3.47
0.3,"Ideal","I","VS1",62.6,54,518,4.24,4.29,2.67
1.07,"Premium","J","VS2",62.8,57,4224,6.54,6.49,4.09
0.25,"Very Good","E","VS1",59.9,56,436,4.1,4.15,2.47
0.33,"Ideal","G","VS1",62.1,55,666,4.43,4.46,2.76
1.13,"Premium","D","SI2",60.9,59,5133,6.65,6.72,4.07
0.32,"Good","H","SI1",63.7,55,461,4.3,4.33,2.75
0.51,"Ideal","H","VS1",61.1,56,1438,5.11,5.16,3.14
2.22,"Very Good","J","SI2",62.8,57,13579,8.29,8.33,5.22
0.38,"Premium","G","VS2",59.7,62,918,4.68,4.66,2.79
0.32,"Premium","F","VS2",61.4,60,645,4.38,4.42,2.7
0.51,"Good","E","SI1",63.9,54,1343,5.05,5.09,3.24
1.5,"Premium","I","VS2",62.9,58,8820,7.17,7.08,4.48
0.34,"Premium","I","SI1",60,58,589,4.55,4.51,2.72
0.53,"Ideal","J","SI2",62.3,58,1002,5.13,5.17,3.21
0.71,"Very Good","E","VS1",63.3,59,3064,5.64,5.68,3.58
0.71,"Very Good","G","VS2",63.5,59,2137,5.67,5.63,3.59
0.4,"Ideal","G","VS2",62.1,58,859,4.68,4.72,2.92
0.26,"Very Good","F","VS2",58.7,59,453,4.14,4.27,2.47
1,"Premium","I","VS1",60.6,58,4077,6.47,6.4,3.9
2,"Very Good","F","SI1",63.3,56,15851,8,7.93,5.04
0.78,"Ideal","G","SI1",61,57,2496,5.94,5.99,3.64
0.6,"Ideal","E","VS2",62,56,2112,5.4,5.43,3.36
0.72,"Ideal","G","SI2",62.1,55.3,2089,5.72,5.74,3.56
0.73,"Ideal","G","VS1",60.9,59,3459,5.79,5.83,3.54
0.26,"Good","F","VVS1",63.3,57,564,4.05,4.07,2.57
1.54,"Ideal","I","SI2",62,59,8254,7.33,7.38,4.56
0.56,"Very Good","E","VS2",61.4,61,1819,5.28,5.31,3.25
1.21,"Very Good","H","SI1",62.8,56,6022,6.8,6.83,4.28
0.34,"Premium","D","VVS2",60.1,58,984,4.53,4.55,2.73
0.3,"Ideal","E","VVS2",61.4,55,1053,4.34,4.36,2.67
0.3,"Ideal","H","VVS2",61.7,54.2,631,4.32,4.35,2.67
0.7,"Premium","F","SI2",60.3,58,1806,5.79,5.76,3.48
0.4,"Very Good","E","SI1",62,61,687,4.67,4.71,2.91
0.59,"Premium","F","SI1",62.4,59,1561,5.37,5.33,3.34
0.7,"Very Good","I","SI1",62.7,56,1918,5.64,5.68,3.55
1.34,"Premium","G","VVS2",61.3,58,11118,7.16,7.1,4.37
2,"Ideal","H","SI2",59.7,57,11988,8.29,8.22,4.93
1.03,"Ideal","F","VS2",61.4,58,6809,6.49,6.51,3.99
0.54,"Ideal","F","SI1",59.8,57,1369,5.31,5.29,3.17
0.52,"Very Good","H","SI1",63.1,57,1219,5.14,5.09,3.23
0.4,"Premium","G","SI1",59.4,60,870,4.85,4.82,2.87
0.41,"Ideal","J","VS2",61.7,55,613,4.8,4.82,2.97
0.3,"Good","G","VS2",63.1,56,526,4.25,4.28,2.69
1,"Good","E","SI1",63.8,55,4474,6.34,6.31,4.03
1.1,"Ideal","D","VVS2",62.2,57,11550,6.58,6.54,4.08
1.75,"Ideal","I","VS2",61,56,12127,7.75,7.82,4.75
1.02,"Premium","H","SI2",59.2,59,3769,6.57,6.54,3.88
0.32,"Premium","I","VS2",62.6,58,449,4.37,4.42,2.75
0.51,"Ideal","F","VS1",62.1,56,1836,5.15,5.13,3.19
1.14,"Ideal","E","VS2",62.4,55,9516,6.71,6.64,4.17
1.58,"Good","I","VS1",58.6,62,9775,7.59,7.66,4.47
0.3,"Ideal","E","VVS2",61.6,57,1013,4.32,4.29,2.65
0.3,"Premium","E","VS2",61.9,59,844,4.33,4.29,2.67
0.34,"Ideal","E","VS2",62.5,55,692,4.45,4.48,2.79
0.68,"Premium","E","SI1",62,59,2224,5.67,5.65,3.51
0.36,"Good","E","SI2",63.7,54,648,4.55,4.52,2.89
1.01,"Premium","H","VS1",62.1,62,5826,6.36,6.32,3.94
0.55,"Ideal","F","SI1",61,56,1390,5.28,5.34,3.24
0.3,"Premium","I","VS1",60.5,60,608,4.33,4.3,2.61
0.31,"Ideal","F","VVS1",62.2,54,840,4.36,4.39,2.72
1.13,"Ideal","D","SI1",61.4,56,7066,6.69,6.74,4.12
0.4,"Ideal","E","SI1",60.5,57,945,4.81,4.77,2.9
0.31,"Good","G","VS1",63.2,56,625,4.29,4.32,2.72
0.31,"Ideal","F","IF",60.9,56,914,4.37,4.4,2.67
0.7,"Very Good","J","SI2",63.6,56,1609,5.57,5.63,3.56
1.1,"Premium","F","VS1",60.9,61,7762,6.7,6.64,4.06
0.91,"Ideal","J","VS2",61.9,58,3299,6.18,6.22,3.84
0.28,"Ideal","E","VVS2",60.3,57,646,4.21,4.25,2.55
1.18,"Ideal","I","SI1",61.5,56,5378,6.77,6.82,4.18
0.33,"Ideal","I","VVS2",62.7,54,743,4.45,4.42,2.78
0.3,"Ideal","H","VS1",61.6,57,675,4.33,4.3,2.66
0.3,"Premium","F","VS1",61,58,570,4.33,4.36,2.65
0.32,"Very Good","D","SI1",62.3,55,589,4.38,4.42,2.74
0.53,"Ideal","G","VS2",61.8,56,1607,5.21,5.18,3.21
0.31,"Good","H","VS1",59.2,65,651,4.42,4.33,2.59
1.01,"Premium","F","VS2",60.8,58,6330,6.44,6.49,3.93
0.91,"Premium","E","SI2",62.8,61,3639,6.09,6.07,3.82
0.29,"Very Good","D","VVS2",59.1,61,600,4.33,4.37,2.57
0.41,"Ideal","J","VS2",62.4,55,613,4.75,4.77,2.97
0.53,"Premium","H","SI2",62.5,60,1015,5.16,5.18,3.23
0.35,"Very Good","H","VVS1",60.1,62,745,4.52,4.57,2.73
0.33,"Ideal","H","VVS2",62.2,56,854,4.46,4.44,2.77
0.33,"Ideal","G","VVS1",60.8,56,868,4.42,4.46,2.7
0.75,"Very Good","D","SI1",63.2,56,2760,5.8,5.75,3.65
0.31,"Ideal","G","VS2",61.4,56,698,4.36,4.34,2.67
0.7,"Premium","D","VS1",62.5,59,3365,5.69,5.64,3.54
1.7,"Premium","I","SI2",62.9,59,9330,7.57,7.51,4.74
1.03,"Premium","D","SI1",63,59,5653,6.44,6.39,4.04
0.62,"Ideal","G","SI1",61.6,56,1563,5.46,5.55,3.39
2.02,"Ideal","I","VS2",61.5,58,16018,8.19,8.11,5.01
1.01,"Ideal","E","VVS1",62,57,10954,6.39,6.45,3.98
1.01,"Premium","E","VS1",62,59,7964,6.42,6.38,3.97
0.43,"Good","E","SI1",63.4,56,718,4.77,4.79,3.03
1.04,"Good","J","SI1",64.2,58,3407,6.42,6.34,4.1
0.35,"Good","E","VS2",57.8,60,711,4.64,4.67,2.69
0.83,"Premium","J","SI1",62.8,58,2311,6,5.95,3.75
0.87,"Ideal","E","SI1",61.5,57,5112,6.12,6.15,3.77
0.71,"Premium","E","VS2",62.4,60,2590,5.66,5.68,3.54
0.52,"Premium","E","VS2",61.6,59,1576,5.14,5.16,3.17
1.17,"Ideal","G","VS1",61.7,57,9326,6.71,6.75,4.15
1.51,"Premium","J","VS2",62.3,59,6342,7.36,7.3,4.57
0.4,"Premium","G","VVS2",59.7,58,1050,4.8,4.78,2.86
0.3,"Ideal","E","VVS1",61.2,57,1102,4.33,4.36,2.66
0.3,"Good","J","VVS2",57.4,61,483,4.41,4.44,2.54
0.36,"Premium","D","SI2",63,59,643,4.52,4.49,2.84
0.76,"Ideal","E","SI2",62.1,56,2978,5.85,5.88,3.64
1,"Ideal","F","VS2",62.8,57,6209,6.35,6.3,3.97
0.54,"Very Good","E","SI2",60.7,56.5,1415,5.24,5.28,3.19
0.9,"Good","F","VS2",63.3,57,4253,6.04,6.09,3.84
0.5,"Good","I","VS1",61.2,61,1193,5.03,5.06,3.09
1.54,"Ideal","G","I1",61.6,55,6186,7.4,7.43,4.57
1.55,"Premium","J","VS1",62.6,59,8593,7.35,7.4,4.62
1.5,"Very Good","F","I1",63.2,57,6028,7.29,7.24,4.59
0.38,"Ideal","I","VVS2",62,55,721,4.64,4.69,2.89
1.24,"Premium","D","VS2",59.3,58,9738,7.03,7.09,4.19
0.61,"Ideal","E","VS2",62.2,54,2278,5.51,5.49,3.42
0.3,"Ideal","E","VS2",61.6,56,844,4.3,4.27,2.64
0.41,"Ideal","G","VVS2",60.9,56,960,4.81,4.84,2.94
0.38,"Premium","E","VS1",60.2,58,1000,4.66,4.71,2.82
0.26,"Very Good","D","VVS2",60.4,59,597,4.15,4.19,2.52
0.31,"Ideal","I","SI1",60.8,56,436,4.38,4.41,2.67
0.53,"Ideal","G","SI1",61.3,56,1377,5.22,5.29,3.22
0.52,"Ideal","E","VS1",62,53,1893,5.16,5.2,3.21
0.9,"Very Good","I","IF",62.6,59,4596,6.12,6.15,3.84
0.54,"Very Good","E","VS2",61.2,58,1707,5.21,5.28,3.21
1.58,"Ideal","J","SI1",61.6,56,7592,7.53,7.5,4.63
0.57,"Ideal","E","VVS1",61.8,56,2739,5.33,5.35,3.3
0.74,"Premium","G","VS1",62.9,60,2800,5.74,5.68,3.59
1.06,"Very Good","I","SI1",62.8,56,4255,6.47,6.52,4.08
1.35,"Premium","J","SI1",62.1,54,4082,7.15,7.09,4.42
1.2,"Ideal","H","VS2",62.6,56,6586,6.76,6.73,4.22
2.01,"Good","I","VS2",63.6,57,16149,7.95,7.87,5.03
0.51,"Good","D","VS2",63.7,57,1549,5,5.05,3.2
1.51,"Very Good","F","SI2",63.4,58,8050,7.29,7.22,4.6
0.54,"Fair","F","SI1",64.8,59,1944,5.11,5.05,3.29
0.51,"Ideal","E","VS2",61.7,53,1709,5.2,5.18,3.2
1.01,"Premium","H","SI1",61.9,57,4949,6.49,6.4,3.99
0.66,"Ideal","H","SI1",61.6,55,1936,5.63,5.66,3.48
0.8,"Good","G","SI2",64.2,55,2246,5.89,5.83,3.76
0.39,"Very Good","J","VS1",61,62,616,4.66,4.71,2.86
0.38,"Ideal","E","IF",61.1,56,1433,4.67,4.72,2.87
0.55,"Very Good","G","VS2",61.6,56,1563,5.26,5.3,3.25
0.34,"Ideal","D","VS1",61.3,56,742,4.5,4.54,2.77
0.46,"Ideal","G","IF",61.7,56,1987,4.97,5.01,3.08
1.09,"Good","D","IF",58.7,61,16406,6.75,6.85,3.99
0.33,"Ideal","G","IF",61.9,55,946,4.44,4.45,2.75
0.91,"Premium","E","VS1",62.9,56,5228,6.21,6.13,3.88
0.56,"Premium","F","SI1",62.7,59,2016,5.27,5.22,3.29
1.51,"Premium","F","VS1",60,60,16551,7.42,7.39,4.44
0.9,"Good","F","VS2",63.6,59,4309,6.06,6.11,3.87
0.51,"Ideal","F","VS2",61.3,56,1562,5.14,5.11,3.14
1.1,"Very Good","I","SI1",61.2,61,4640,6.61,6.66,4.01
1,"Fair","H","SI2",65.1,58,3640,6.27,6.15,4.05
1.08,"Ideal","F","SI1",62.7,57,5327,6.52,6.49,4.08
1.01,"Fair","G","SI1",60.4,62,4646,6.31,6.34,3.82
1.57,"Very Good","D","SI2",62.9,61,9698,7.37,7.41,4.65
1,"Good","G","VS2",58.6,65,5242,6.61,6.53,3.85
0.43,"Very Good","F","SI1",62.5,56,792,4.82,4.85,3.02
0.7,"Ideal","E","SI2",62.9,56,2100,5.66,5.6,3.54
1.02,"Premium","D","SI2",62.8,55,5055,6.46,6.38,4.03
0.31,"Ideal","G","IF",61.4,56,891,4.38,4.41,2.7
0.73,"Very Good","G","VS2",62.1,59,2966,5.68,5.73,3.54
0.31,"Ideal","D","VS2",62.9,55,942,4.34,4.31,2.72
0.51,"Premium","F","SI1",59.4,60,1406,5.21,5.19,3.09
0.32,"Very Good","D","SI1",62.8,56,589,4.37,4.42,2.76
0.51,"Ideal","E","VS1",60.9,56,1759,5.16,5.22,3.16
0.42,"Very Good","H","VVS2",62.9,56,921,4.75,4.79,3
2.23,"Premium","J","SI1",62.4,59,14129,8.33,8.36,5.21
0.72,"Very Good","I","VS2",61.1,56,2337,5.76,5.79,3.53
0.5,"Very Good","F","VS2",63,58,1436,5.05,5.08,3.19
1.04,"Premium","G","SI2",60.6,59,3896,6.6,6.56,3.99
0.66,"Good","G","VS1",61.6,61,2139,5.56,5.63,3.43
1.29,"Premium","G","VS2",61.9,58,8530,7.02,6.97,4.33
1.28,"Premium","G","VS1",60.9,58,9335,7.01,7.09,4.29
1,"Premium","G","VS2",63,59,5806,6.4,6.36,4.02
0.91,"Fair","H","SI2",61.3,67,2825,6.24,6.19,3.81
0.73,"Ideal","I","VS2",61.9,56,2426,5.77,5.82,3.59
1.01,"Premium","E","SI1",62,61,5311,6.42,6.38,3.97
0.72,"Ideal","J","SI1",61.7,56,1853,5.77,5.81,3.57
0.75,"Very Good","E","SI1",63.6,56,2993,5.73,5.75,3.65
1.11,"Ideal","J","VS2",61.7,54,5051,6.64,6.69,4.11
1.54,"Premium","I","SI1",60.9,59,8258,7.42,7.46,4.53
0.8,"Fair","E","SI1",56.3,63,2885,6.22,6.14,3.48
0.6,"Ideal","H","VS1",61.6,56,1820,5.4,5.42,3.33
2.01,"Ideal","I","SI1",61.9,56,14558,8.16,8.08,5.03
0.61,"Ideal","I","VS2",62,57,1627,5.43,5.46,3.37
0.96,"Very Good","D","SI2",60.2,63,3419,6.36,6.3,3.81
0.4,"Very Good","G","SI2",62.9,57,630,4.68,4.7,2.95
0.39,"Ideal","D","VS1",61.9,57,1170,4.71,4.69,2.91
0.72,"Ideal","F","VVS1",61.8,57,5086,5.73,5.76,3.55
0.4,"Ideal","H","SI2",62.2,56,596,4.71,4.75,2.94
1.5,"Fair","J","VS2",64.5,59,5846,7.2,7.07,4.6
0.71,"Good","D","VS2",63.3,56,2788,5.64,5.68,3.58
0.9,"Fair","D","VS2",57.4,65,4277,6.26,6.29,3.6
2.2,"Ideal","G","SI2",62,57,18168,8.31,8.27,5.14
1.01,"Very Good","D","SI2",62.7,58,4606,6.31,6.39,3.98
0.58,"Premium","F","VS2",61.9,57,2036,5.47,5.36,3.35
1.71,"Ideal","H","SI1",61.4,57,12416,7.63,7.74,4.72
0.75,"Ideal","E","SI1",60.8,56,3045,5.91,5.89,3.59
1.47,"Ideal","I","VS2",62.3,57,7284,7.24,7.3,4.53
0.9,"Very Good","E","SI1",62.2,60,4054,6.14,6.17,3.83
0.3,"Ideal","D","VS2",62.5,57,710,4.25,4.29,2.67
0.33,"Ideal","E","VVS1",61.6,55,1130,4.44,4.46,2.74
1,"Good","F","SI2",64.1,58,3799,6.35,6.26,4.04
0.7,"Premium","E","SI1",61.2,60,2444,5.71,5.69,3.49
0.72,"Ideal","G","SI2",61.8,56,2501,5.72,5.76,3.55
1.01,"Ideal","F","SI2",62.7,57,4017,6.43,6.37,4.01
1.38,"Ideal","F","SI2",62,58,7767,7.12,7.17,4.43
0.5,"Premium","I","VVS1",58.2,62,1415,5.25,5.19,3.04
1.66,"Good","F","I1",62.1,57.7,6025,7.56,7.6,4.71
0.3,"Very Good","H","VVS2",63.1,60,776,4.28,4.24,2.69
0.34,"Good","I","SI1",63.7,54,574,4.48,4.43,2.84
0.42,"Very Good","D","VS1",60.7,60,1066,4.81,4.88,2.94
0.71,"Ideal","E","VS1",61.8,55,3332,5.72,5.77,3.55
0.3,"Ideal","I","VVS1",62.1,56,552,4.3,4.33,2.68
0.7,"Very Good","E","SI1",63.1,58,2643,5.61,5.64,3.55
1.04,"Good","H","I1",63.9,58,3261,6.42,6.35,4.08
1.28,"Very Good","F","SI2",62.5,55,5223,6.91,7,4.35
1.01,"Very Good","H","SI2",63.4,57,3592,6.39,6.32,4.03
0.41,"Ideal","E","VS2",62.5,55,935,4.74,4.77,2.97
1.01,"Good","E","VS2",63.5,58,6666,6.34,6.36,4.03
0.5,"Ideal","G","VVS1",61.9,58,1883,5.06,5.09,3.14
0.38,"Ideal","F","VS2",62,56,1026,4.66,4.63,2.88
1.16,"Premium","H","SI1",61.2,57,5554,6.84,6.76,4.16
1.52,"Fair","H","VS2",62.1,66,8674,7.33,7.13,4.5
0.33,"Very Good","E","VVS1",61.6,53,848,4.46,4.5,2.76
1.23,"Premium","E","SI2",62.5,58,5929,6.86,6.81,4.27
1.11,"Ideal","G","SI2",61.7,57,5299,6.65,6.69,4.12
1.73,"Very Good","I","SI1",60.9,59,11554,7.71,7.68,4.69
0.35,"Premium","E","VS2",61.6,58,984,4.57,4.52,2.8
0.52,"Ideal","D","SI1",61.5,55,1720,5.22,5.19,3.2
0.72,"Very Good","E","VVS1",61.2,57,4847,5.73,5.78,3.53
0.31,"Premium","F","VS2",61.4,55,802,4.34,4.32,2.66
0.35,"Very Good","G","VS1",61.2,56,706,4.53,4.56,2.78
0.31,"Premium","H","SI1",61.1,55,573,4.39,4.35,2.67
1.05,"Ideal","G","IF",62.5,56,8850,6.48,6.52,4.06
1.8,"Ideal","H","VS1",62.3,56,14968,7.76,7.79,4.84
0.31,"Very Good","G","VVS1",63.5,57,1046,4.33,4.3,2.74
1.59,"Premium","I","VS2",62.9,56,10471,7.48,7.43,4.69
0.52,"Ideal","G","IF",61.5,56,2164,5.21,5.16,3.19
0.51,"Very Good","E","VS1",62.8,57.1,1970,5.07,5.1,3.2
0.76,"Ideal","E","SI1",60.6,57,2961,5.91,5.93,3.59
1.04,"Premium","H","SI2",61.5,59,4368,6.54,6.51,4.01
0.91,"Ideal","I","SI1",62.4,56,3574,6.2,6.24,3.88
1.24,"Ideal","G","IF",62.4,56,11376,6.86,6.89,4.29
0.5,"Very Good","G","SI1",62.2,58,1214,5.03,5.07,3.14
0.33,"Very Good","E","SI1",60.2,58,579,4.49,4.55,2.72
0.53,"Very Good","G","VS2",62.5,56,1450,5.16,5.18,3.23
2.1,"Good","H","SI1",63.7,61,12121,8.1,8.07,5.15
0.43,"Ideal","G","VS2",61.7,55,942,4.85,4.88,3
0.41,"Premium","G","SI1",62.5,58,923,4.78,4.75,2.98
1.08,"Ideal","J","SI2",61.8,57,3537,6.56,6.58,4.06
1,"Very Good","F","IF",63.2,63,10046,6.26,6.24,3.95
1.02,"Fair","F","SI2",66.6,58,3633,6.21,6.14,4.11
0.81,"Ideal","I","VS1",61.8,56,3422,5.97,6,3.7
1,"Premium","E","VS2",62.7,59,6600,6.31,6.38,3.98
0.5,"Very Good","E","VS2",61.3,58,1624,5.06,5.12,3.12
0.57,"Ideal","H","VS1",61.7,54,1554,5.33,5.36,3.3
0.5,"Very Good","G","VVS2",60.5,62,1715,5.07,5.14,3.09
0.51,"Very Good","I","SI1",62.5,58,1068,5.05,5.12,3.18
0.23,"Very Good","F","VS2",61.6,59,402,3.96,4,2.45
0.33,"Very Good","F","VVS2",61.1,56,739,4.46,4.48,2.73
0.7,"Good","E","SI2",57.5,58,2229,5.8,5.85,3.35
0.34,"Ideal","E","VVS1",61.1,56,1208,4.52,4.55,2.77
0.31,"Ideal","F","VS2",61.9,54,802,4.38,4.35,2.7
0.71,"Ideal","E","VS2",62.5,56,2347,5.7,5.75,3.58
0.53,"Ideal","D","VS2",62.2,56,1809,5.17,5.18,3.22
0.51,"Ideal","G","VS1",62.2,55,1599,5.13,5.16,3.2
0.33,"Ideal","E","VVS1",61.8,57,984,4.4,4.43,2.73
1.2,"Very Good","G","VS2",63.5,57,8032,6.76,6.66,4.26
0.9,"Very Good","E","VS2",60.4,59,4925,6.26,6.3,3.79
0.91,"Premium","G","VS2",59.5,58,4241,6.34,6.26,3.75
0.7,"Ideal","G","SI1",61.9,58,2567,5.66,5.69,3.51
0.84,"Ideal","G","VS2",62,55,3936,6.07,6.09,3.77
0.62,"Premium","G","VS1",59.8,58,1933,5.55,5.58,3.33
1.04,"Ideal","F","VS1",63,56,7338,6.5,6.45,4.08
0.8,"Ideal","F","SI2",61.8,56,2564,5.97,6,3.7
1.13,"Ideal","G","VS2",62.7,57,6644,6.68,6.65,4.18
1.17,"Ideal","G","VVS1",61.9,56,9799,6.73,6.78,4.18
1.11,"Ideal","J","VS1",61.3,55,5012,6.65,6.75,4.11
0.9,"Good","I","SI2",60.7,58,3057,6.17,6.21,3.76
0.7,"Ideal","H","VVS2",62.5,56,2644,5.7,5.63,3.54
0.31,"Ideal","D","VS2",62.1,56,942,4.35,4.34,2.7
0.36,"Premium","J","SI1",61.3,60,421,4.52,4.59,2.79
