sample	chrom	start	end	nprobes	log2ratio
K562	chr2	120000001	120200000	57	-0.00538
K562	chr2	120200001	120250000	38	0.07359
K562	chr2	120250001	120300000	38	-0.01505
K562	chr2	120300001	120350000	58	0.02913
K562	chr2	120350001	120400000	35	-0.06866
K562	chr2	120400001	120450000	33	-0.02833
K562	chr2	120450001	120500000	30	-0.10168
K562	chr2	120500001	120550000	51	-0.13524
K562	chr2	120550001	120600000	52	-0.08544
K562	chr2	120600001	120650000	25	-0.08689
K562	chr2	120650001	120700000	35	-0.07938
K562	chr2	120700001	120750000	60	0.03526
K562	chr2	120750001	120800000	49	-0.12004
K562	chr2	120800001	120850000	36	-0.07265
K562	chr2	120850001	120900000	50	-0.02462
K562	chr2	120900001	120950000	37	-0.02041
K562	chr2	120950001	121050000	75	-0.13426
K562	chr2	121050001	121200000	54	-0.05105
K562	chr2	121200001	121250000	22	-0.06821
K562	chr2	121250001	121350000	45	0.03536
K562	chr2	121350001	121500000	39	-0.00667
K562	chr2	121500001	121600000	46	0.00747
K562	chr2	121600001	121700000	43	0.06299
K562	chr2	121700001	121750000	28	0.06856
K562	chr2	121750001	121850000	42	0.05247
K562	chr2	121850001	121950000	20	-0.06012
K562	chr2	121950001	122650000	47	-0.24795
K562	chr2	122650001	123650000	40	-0.25145
K562	chr2	123650001	124000000	21	-0.15175
K562	chr2	124000001	124300000	24	-0.00108
K562	chr2	124300001	124900000	32	-0.204
K562	chr2	124900001	125700000	29	-0.1237
K562	chr2	125700001	126650000	49	-0.08829
K562	chr2	126650001	126750000	44	-0.01637
K562	chr2	126750001	126850000	20	0.00363
K562	chr2	126850001	126950000	30	-0.0526
K562	chr2	126950001	127000000	25	0.03376
K562	chr2	127000001	127050000	39	0.03145
K562	chr2	127050001	127100000	51	0.0898
K562	chr2	127100001	127150000	41	0.03036
K562	chr2	127150001	127200000	34	-0.15504
K562	chr2	127200001	127250000	30	0.08945
K562	chr2	127250001	127350000	39	0.06746
K562	chr2	127350001	127400000	26	-0.01431
K562	chr2	127400001	127450000	53	0.14869
K562	chr2	127450001	127500000	21	0.04489
K562	chr2	127500001	127550000	36	0.08614
K562	chr2	127550001	127600000	33	0.0366
K562	chr2	127600001	127650000	62	-0.00546
K562	chr2	127650001	127700000	76	-0.03614
K562	chr2	127700001	127800000	41	0.03663
K562	chr2	127800001	127850000	27	0.09232
K562	chr2	127850001	128000000	53	0.00904
K562	chr2	128000001	128050000	24	0.10554
K562	chr2	128050001	128150000	23	0.117
K562	chr2	128150001	128250000	27	-0.08049
K562	chr2	128250001	128300000	29	0.23592
K562	chr2	128300001	128350000	45	0.11028
K562	chr2	128350001	128400000	33	-0.04547
K562	chr2	128400001	128450000	28	0.02582
K562	chr2	128450001	128550000	52	-0.03431
K562	chr2	128550001	128600000	22	-0.12365
K562	chr2	128600001	128750000	48	-0.0637
K562	chr2	128750001	129050000	42	-0.15761
K562	chr2	129050001	129250000	31	-0.1575
K562	chr2	129250001	129550000	27	-0.154
K562	chr2	129550001	129750000	25	-0.1128
K562	chr2	129750001	129900000	36	-0.0759
K562	chr2	129900001	130150000	43	0.08635
K562	chr2	130150001	130300000	39	0.03824
K562	chr2	130300001	130350000	43	0.07029
K562	chr2	130350001	130750000	71	0.05242
K562	chr2	130750001	130800000	41	0.00045
K562	chr2	130800001	130900000	58	-0.0091
K562	chr2	130900001	131000000	57	-0.08809
K562	chr2	131000001	131050000	38	0.10837
K562	chr2	131050001	131100000	22	0.1417
K562	chr2	131100001	131150000	35	0.03167
K562	chr2	131150001	131450000	45	0.16872
K562	chr2	131450001	131500000	22	0.12794
K562	chr2	131500001	131650000	25	0.13386
K562	chr2	131650001	131750000	20	-0.06834
K562	chr2	131750001	132250000	30	-0.0527
K562	chr2	132250001	132400000	20	-0.11342
K562	chr2	132400001	132550000	35	-0.1281
K562	chr2	132550001	132650000	27	-0.17198
K562	chr2	132650001	132750000	38	-0.09747
K562	chr2	132750001	133050000	29	-0.27884
K562	chr2	133050001	133300000	39	-0.1769
K562	chr2	133300001	133400000	23	-0.21929
K562	chr2	133400001	133550000	42	-0.35232
K562	chr2	133550001	133600000	32	-0.29522
K562	chr2	133600001	133800000	29	-0.29741
K562	chr2	133800001	134000000	34	-0.16928
K562	chr2	134000001	134100000	33	-0.19835
K562	chr2	134100001	134200000	51	-0.01459
K562	chr2	134200001	134250000	21	-0.08275
K562	chr2	134250001	134350000	37	-0.14475
K562	chr2	134350001	134450000	35	-0.02327
K562	chr2	134450001	134550000	29	-0.12796
K562	chr2	134550001	134700000	29	-0.20858
K562	chr2	134700001	134900000	61	-0.0972
K562	chr2	134900001	135050000	41	0.03128
K562	chr2	135050001	135200000	40	-0.04949
K562	chr2	135200001	135500000	20	0.0246
K562	chr2	135500001	135600000	32	0.06702
K562	chr2	135600001	135800000	64	0.04514
K562	chr2	135800001	135850000	29	0.00508
K562	chr2	135850001	135950000	23	0.1169
K562	chr2	135950001	136000000	37	-0.07402
K562	chr2	136000001	136100000	41	-0.18344
K562	chr2	136100001	136200000	65	-0.10976
K562	chr2	136200001	136400000	52	-0.15848
K562	chr2	136400001	136750000	28	-0.22184
K562	chr2	136750001	136950000	26	-0.13701
K562	chr2	136950001	137200000	30	-0.26188
K562	chr2	137200001	137800000	23	-0.23437
K562	chr2	137800001	138000000	37	-0.10534
K562	chr2	138000001	138250000	37	-0.08262
K562	chr2	138250001	138500000	48	-0.07072
K562	chr2	138500001	138600000	34	0.00164
K562	chr2	138600001	138750000	20	-0.18397
K562	chr2	138750001	139350000	49	-0.17759
K562	chr2	139350001	140100000	49	-0.23943
K562	chr2	140100001	140950000	37	-0.21151
K562	chr2	140950001	141450000	23	-0.29883
K562	chr2	141450001	142100000	33	-0.25165
K562	chr2	142100001	142300000	34	-0.16631
K562	chr2	142300001	142850000	31	-0.23415
K562	chr2	142850001	143000000	45	-0.1817
K562	chr2	143000001	143150000	33	-0.12543
K562	chr2	143150001	143300000	35	-0.17006
K562	chr2	143300001	143500000	26	-0.16773
K562	chr2	143500001	143700000	44	0.00175
K562	chr2	143700001	143750000	20	-0.1454
K562	chr2	143750001	143900000	26	-0.16058
K562	chr2	143900001	144200000	53	-0.08238
K562	chr2	144200001	144300000	36	-0.05863
K562	chr2	144300001	144350000	22	0.04272
K562	chr2	144350001	144400000	24	-0.10371
K562	chr2	144400001	144450000	21	-0.18496
K562	chr2	144450001	144500000	20	-0.15399
K562	chr2	144500001	144550000	74	0.02519
K562	chr2	144550001	144650000	22	-0.06838
K562	chr2	144650001	144800000	34	-0.1608
K562	chr2	144800001	145000000	20	0.01705
K562	chr2	145000001	145550000	42	-0.12665
K562	chr2	145550001	145750000	23	-0.00549
K562	chr2	145750001	146200000	39	-0.18133
K562	chr2	146200001	146550000	21	-0.08564
K562	chr2	146550001	146850000	22	-0.16921
K562	chr2	146850001	147100000	28	-0.22426
K562	chr2	147100001	147450000	33	-0.31471
K562	chr2	147450001	147800000	45	-0.34177
K562	chr2	147800001	147900000	33	-0.1453
K562	chr2	147900001	148000000	22	0.11866
K562	chr2	148000001	148050000	20	-0.1231
K562	chr2	148050001	148300000	26	-0.12834
K562	chr2	148300001	148600000	34	-0.13804
K562	chr2	148600001	148700000	32	0.39611
K562	chr2	148700001	148850000	21	0.48612
K562	chr2	148850001	148900000	40	0.35265
K562	chr2	148900001	149000000	36	0.26329
K562	chr2	149000001	149050000	36	0.3126
K562	chr2	149050001	149300000	42	0.33896
K562	chr2	149300001	149550000	46	0.2741
K562	chr2	149550001	149700000	36	0.28644
K562	chr2	149700001	149950000	26	0.22578
K562	chr2	149950001	150150000	27	0.30498
K562	chr2	150150001	150450000	42	0.28468
K562	chr2	150450001	150600000	65	0.27899
K562	chr2	150600001	150650000	21	0.29113
K562	chr2	150650001	151250000	63	0.16379
K562	chr2	151250001	151400000	58	0.24692
K562	chr2	151400001	151700000	71	0.20115
K562	chr2	151700001	151800000	41	0.20451
K562	chr2	151800001	151850000	22	0.23385
K562	chr2	151850001	151950000	24	0.09695
K562	chr2	151950001	152050000	34	0.05099
K562	chr2	152050001	152150000	35	0.33051
K562	chr2	152150001	152300000	36	0.10112
K562	chr2	152300001	152400000	27	0.15344
K562	chr2	152400001	152450000	28	0.0026
K562	chr2	152450001	152500000	25	0.07488
K562	chr2	152500001	152600000	33	0.10227
K562	chr2	152600001	152700000	32	0.11915
K562	chr2	152700001	153200000	61	0.11575
K562	chr2	153200001	153450000	27	0.04895
K562	chr2	153450001	153850000	49	0.14345
K562	chr2	153850001	153900000	22	0.13374
K562	chr2	153900001	154650000	52	0.15128
K562	chr2	154650001	154850000	27	0.13047
K562	chr2	154850001	156000000	39	0.19815
K562	chr2	156000001	156300000	21	0.1002
K562	chr2	156300001	156400000	86	0.16348
K562	chr2	156400001	156450000	40	0.27351
K562	chr2	156450001	156650000	40	0.22308
K562	chr2	156650001	157150000	37	0.22861
K562	chr2	157150001	157300000	35	0.09193
K562	chr2	157300001	157400000	27	0.10278
K562	chr2	157400001	157450000	21	0.19323
K562	chr2	157450001	157600000	39	0.14022
K562	chr2	157600001	157850000	60	0.14836
K562	chr2	157850001	157900000	27	0.2322
K562	chr2	157900001	158100000	35	0.21806
K562	chr2	158100001	158200000	20	0.25611
K562	chr2	158200001	158450000	20	0.21342
K562	chr2	158450001	158500000	30	0.22614
K562	chr2	158500001	158700000	44	0.15863
K562	chr2	158700001	158750000	21	0.0106
K562	chr2	158750001	158950000	44	0.10808
K562	chr2	158950001	159050000	39	0.27489
K562	chr2	159050001	159100000	22	0.13775
K562	chr2	159100001	159250000	49	0.20658
K562	chr2	159250001	159600000	60	0.2174
K562	chr2	159600001	159700000	29	0.23689
K562	chr2	159700001	159750000	30	0.12074
K562	chr2	159750001	159900000	32	0.09429
K562	chr2	159900001	160050000	52	0.17329
K562	chr2	160050001	160200000	42	0.05957
K562	chr2	160200001	160250000	36	-0.03907
K562	chr2	160250001	160350000	52	0.09204
K562	chr2	160350001	160400000	26	0.11907
K562	chr2	160400001	160450000	28	-0.00862
K562	chr2	160450001	160650000	59	0.04841
K562	chr2	160650001	160900000	23	0.0125
K562	chr2	160900001	161150000	54	0.03239
K562	chr2	161150001	161200000	22	0.1867
K562	chr2	161200001	161300000	42	0.22178
K562	chr2	161300001	161400000	26	0.13837
K562	chr2	161400001	161600000	85	0.19089
K562	chr2	161600001	162050000	56	0.04916
K562	chr2	162050001	162150000	45	0.11119
K562	chr2	162150001	162200000	28	-0.00292
K562	chr2	162200001	162300000	25	-0.0286
K562	chr2	162300001	162450000	45	0.0795
K562	chr2	162450001	162800000	33	-0.05993
K562	chr2	162800001	163150000	25	0.08397
K562	chr2	163150001	163700000	64	0.03389
K562	chr2	163700001	163750000	26	0.19719
K562	chr2	163750001	164100000	20	0.07016
K562	chr2	164100001	164600000	41	0.0902
K562	chr2	164600001	164800000	51	0.0416
K562	chr2	164800001	164950000	63	0.14694
K562	chr2	164950001	165250000	64	0.15351
K562	chr2	165250001	165450000	25	0.09801
K562	chr2	165450001	165750000	55	0.11947
K562	chr2	165750001	165800000	32	0.24035
K562	chr2	165800001	165850000	21	0.06349
K562	chr2	165850001	165950000	24	0.15202
K562	chr2	165950001	166050000	20	0.26523
K562	chr2	166050001	166150000	32	0.17811
K562	chr2	166150001	166350000	23	0.35057
K562	chr2	166350001	166450000	28	0.22291
K562	chr2	166450001	166650000	22	0.28689
K562	chr2	166650001	167150000	33	0.23441
K562	chr2	167150001	167250000	23	0.08691
K562	chr2	167250001	167500000	30	0.01083
K562	chr2	167500001	167850000	34	0.0803
K562	chr2	167850001	168000000	40	0.05839
K562	chr2	168000001	168200000	52	0.14223
K562	chr2	168200001	168450000	64	0.1564
K562	chr2	168450001	168550000	44	0.1813
K562	chr2	168550001	168650000	25	0.29736
K562	chr2	168650001	168850000	46	0.22298
K562	chr2	168850001	168900000	24	0.30026
K562	chr2	168900001	169050000	46	0.15197
K562	chr2	169050001	169150000	51	0.34481
K562	chr2	169150001	169350000	22	0.19734
K562	chr2	169350001	169500000	57	0.30197
K562	chr2	169500001	169550000	20	0.37307
K562	chr2	169550001	169650000	31	0.29304
K562	chr2	169650001	169700000	29	0.22316
K562	chr2	169700001	169750000	27	0.25721
K562	chr2	169750001	169800000	34	0.23098
K562	chr2	169800001	170000000	65	0.30059
K562	chr2	170000001	170150000	33	0.28832
K562	chr2	170150001	170350000	45	0.28471
K562	chr2	170350001	170700000	69	0.15374
K562	chr2	170700001	170750000	49	0.10009
K562	chr2	170750001	170800000	30	0.34646
K562	chr2	170800001	170900000	69	0.22051
K562	chr2	170900001	170950000	27	0.17945
K562	chr2	170950001	171150000	50	0.18029
K562	chr2	171150001	171300000	44	0.23614
K562	chr2	171300001	171400000	22	0.17006
K562	chr2	171400001	171500000	45	0.20042
K562	chr2	171500001	171650000	46	0.26226
K562	chr2	171650001	171750000	33	0.21445
K562	chr2	171750001	171850000	21	0.15097
K562	chr2	171850001	171900000	21	0.22643
K562	chr2	171900001	172050000	47	0.26716
K562	chr2	172050001	172100000	102	0.174
K562	chr2	172100001	172150000	45	0.23259
K562	chr2	172150001	172200000	22	0.17128
K562	chr2	172200001	172250000	31	0.1292
K562	chr2	172250001	172350000	32	0.10598
K562	chr2	172350001	172400000	23	0.05232
K562	chr2	172400001	172450000	33	0.26763
K562	chr2	172450001	172550000	29	0.11905
K562	chr2	172550001	172700000	51	0.16115
K562	chr2	172700001	172850000	42	0.14577
K562	chr2	172850001	172950000	36	0.1571
K562	chr2	172950001	173050000	33	0.04202
K562	chr2	173050001	173150000	46	0.20274
K562	chr2	173150001	173250000	31	0.15817
K562	chr2	173250001	173350000	27	0.20299
K562	chr2	173350001	173400000	35	0.10936
K562	chr2	173400001	173650000	42	0.12346
K562	chr2	173650001	173950000	51	0.08366
K562	chr2	173950001	174000000	36	0.2461
K562	chr2	174000001	174200000	79	0.23114
K562	chr2	174200001	174300000	21	0.23656
K562	chr2	174300001	174350000	78	0.23057
K562	chr2	174350001	174450000	36	0.21889
K562	chr2	174450001	174550000	34	0.17231
K562	chr2	174550001	174600000	43	0.23674
K562	chr2	174600001	174650000	26	0.17846
K562	chr2	174650001	174700000	27	0.15615
K562	chr2	174700001	174750000	25	0.15387
K562	chr2	174750001	174800000	33	0.10257
K562	chr2	174800001	175000000	57	0.1484
K562	chr2	175000001	175150000	38	0.18645
K562	chr2	175150001	175300000	57	0.23867
K562	chr2	175300001	175600000	28	0.07549
K562	chr2	175600001	175700000	21	0.00443
K562	chr2	175700001	176050000	40	0.26169
K562	chr2	176050001	176100000	105	0.20801
K562	chr2	176100001	176150000	180	0.19722
K562	chr2	176150001	176250000	145	0.20535
K562	chr2	176250001	176450000	47	0.21209
K562	chr2	176450001	176600000	48	0.0646
K562	chr2	176600001	176650000	30	0.05527
K562	chr2	176650001	176900000	44	0.17887
K562	chr2	176900001	177150000	36	0.19216
K562	chr2	177150001	177200000	29	0.30172
K562	chr2	177200001	177250000	46	0.25016
K562	chr2	177250001	177350000	60	0.19006
K562	chr2	177350001	177550000	37	0.28121
K562	chr2	177550001	177600000	22	0.24528
K562	chr2	177600001	177650000	33	0.19975
K562	chr2	177650001	177900000	49	0.18003
K562	chr2	177900001	178100000	36	0.16723
K562	chr2	178100001	178150000	39	0.23936
K562	chr2	178150001	178300000	42	0.26609
K562	chr2	178300001	178400000	31	0.34421
K562	chr2	178400001	178450000	25	0.29846
K562	chr2	178450001	178500000	59	0.29356
K562	chr2	178500001	178650000	37	0.28209
K562	chr2	178650001	178850000	65	0.08913
K562	chr2	178850001	179000000	29	0.03845
K562	chr2	179000001	179100000	20	0.07502
K562	chr2	179100001	179250000	25	0.15215
K562	chr2	179250001	179550000	45	0.08579
K562	chr2	179550001	179850000	43	0.15576
K562	chr2	179850001	180000000	30	0.23025
K562	chr2	180000001	180350000	44	0.0626
K562	chr2	180350001	180650000	23	-0.03845
K562	chr2	180650001	180950000	32	0.22649
K562	chr2	180950001	181100000	41	0.02633
K562	chr2	181100001	181200000	30	0.19316
K562	chr2	181200001	181450000	36	0.05175
K562	chr2	181450001	181550000	33	0.00076
K562	chr2	181550001	181650000	22	-0.01798
K562	chr2	181650001	181750000	72	0.18865
K562	chr2	181750001	181850000	21	0.16101
K562	chr2	181850001	181950000	40	0.15361
K562	chr2	181950001	182100000	34	0.16985
K562	chr2	182100001	182500000	39	0.17804
K562	chr2	182500001	182700000	33	0.2546
K562	chr2	182700001	182850000	29	0.31018
K562	chr2	182850001	183000000	34	0.37575
K562	chr2	183000001	183050000	28	0.27058
K562	chr2	183050001	183100000	30	0.34408
K562	chr2	183100001	183950000	61	0.20345
K562	chr2	183950001	184550000	21	0.08401
K562	chr2	184550001	184600000	20	0.22277
K562	chr2	184600001	185700000	47	0.24129
K562	chr2	185700001	186050000	41	0.2515
K562	chr2	186050001	186450000	27	0.20426
K562	chr2	186450001	186550000	37	0.21504
K562	chr2	186550001	186650000	32	0.24933
K562	chr2	186650001	186700000	23	0.17756
K562	chr2	186700001	186850000	23	0.12778
K562	chr2	186850001	187100000	27	0.26533
K562	chr2	187100001	187500000	45	0.29245
K562	chr2	187500001	187550000	20	0.11506
K562	chr2	187550001	187600000	24	0.29448
K562	chr2	187600001	188250000	33	-0.284
K562	chr2	188250001	188450000	68	-0.46906
K562	chr2	188450001	188750000	31	-0.42193
K562	chr2	188750001	188950000	21	-0.57377
K562	chr2	188950001	189050000	24	-0.45933
K562	chr2	189050001	189150000	26	-0.48585
K562	chr2	189150001	189400000	55	-0.46096
K562	chr2	189400001	189550000	44	-0.35074
K562	chr2	189550001	189650000	44	-0.40289
K562	chr2	189650001	189750000	40	-0.18207
K562	chr2	189750001	189850000	74	-0.2466
K562	chr2	189850001	190050000	23	-0.28095
K562	chr2	190050001	190150000	25	-0.47409
K562	chr2	190150001	190200000	24	-0.08563
K562	chr2	190200001	190300000	20	-0.39783
K562	chr2	190300001	190400000	53	-0.28251
K562	chr2	190400001	190500000	46	-0.34223
K562	chr2	190500001	190550000	29	-0.32421
K562	chr2	190550001	190600000	20	-0.51043
K562	chr2	190600001	190650000	58	-0.36907
K562	chr2	190650001	190700000	33	-0.45739
K562	chr2	190700001	190850000	34	-0.62141
K562	chr2	190850001	190900000	31	-0.26241
K562	chr2	190900001	190950000	20	-0.50864
K562	chr2	190950001	191000000	20	-0.53631
K562	chr2	191000001	191150000	65	-0.40666
K562	chr2	191150001	191200000	31	-0.35502
K562	chr2	191200001	191250000	34	-0.45747
K562	chr2	191250001	191400000	55	-0.51809
K562	chr2	191400001	191500000	20	-0.65763
K562	chr2	191500001	191650000	35	-0.43225
K562	chr2	191650001	191800000	55	-0.38077
K562	chr2	191800001	191900000	41	-0.3992
K562	chr2	191900001	192150000	44	-0.62596
K562	chr2	192150001	192600000	53	-0.41338
K562	chr2	192600001	193550000	36	-0.4633
K562	chr2	193550001	194300000	23	-0.42185
K562	chr2	194300001	195550000	64	-0.43838
K562	chr2	195550001	195650000	28	-0.53857
K562	chr2	195650001	196050000	69	-0.38498
K562	chr2	196050001	196150000	35	-0.28104
K562	chr2	196150001	196200000	34	-0.36478
K562	chr2	196200001	196250000	25	-0.55282
K562	chr2	196250001	196400000	42	-0.51675
K562	chr2	196400001	196600000	43	-0.19332
K562	chr2	196600001	196750000	45	-0.55726
K562	chr2	196750001	196900000	37	-0.37081
K562	chr2	196900001	196950000	21	-0.3862
K562	chr2	196950001	197050000	22	-0.63101
K562	chr2	197050001	197150000	35	-0.63377
K562	chr2	197150001	197250000	54	-0.35541
K562	chr2	197250001	197300000	23	-0.66412
K562	chr2	197300001	197400000	40	-0.40625
K562	chr2	197400001	197450000	59	-0.09406
K562	chr2	197450001	197500000	37	-0.14276
K562	chr2	197500001	197550000	50	-0.11801
K562	chr2	197550001	197700000	34	-0.36015
K562	chr2	197700001	197750000	25	-0.17347
K562	chr2	197750001	197800000	30	-0.14778
K562	chr2	197800001	197850000	20	-0.26119
K562	chr2	197850001	198350000	55	-0.5254
K562	chr2	198350001	199300000	45	-0.45902
K562	chr2	199300001	199450000	33	-0.56826
K562	chr2	199450001	199600000	101	-0.2667
K562	chr2	199600001	199900000	59	-0.4529
K562	chr2	199900001	199950000	21	-0.36672
K562	chr2	199950001	200200000	55	-0.49304
K562	chr2	200200001	200300000	21	-0.20869
K562	chr2	200300001	200350000	39	-0.3935
K562	chr2	200350001	200450000	38	-0.5741
K562	chr2	200450001	200500000	29	-0.3692
K562	chr2	200500001	200550000	38	-0.13121
K562	chr2	200550001	200700000	50	-0.44375
K562	chr2	200700001	200750000	22	-0.3836
K562	chr2	200750001	200800000	27	-0.5606
K562	chr2	200800001	200850000	36	-0.23168
K562	chr2	200850001	200950000	78	-0.19009
K562	chr2	200950001	201050000	32	-0.28695
K562	chr2	201050001	201100000	30	-0.17802
K562	chr2	201100001	201150000	69	-0.1924
K562	chr2	201150001	201250000	54	-0.40677
K562	chr2	201250001	201400000	60	-0.37977
K562	chr2	201400001	201450000	24	-0.45941
K562	chr2	201450001	201600000	40	-0.16934
K562	chr2	201600001	201650000	46	-0.13099
K562	chr2	201650001	201750000	36	-0.57635
K562	chr2	201750001	201800000	27	-0.43051
K562	chr2	201800001	201850000	20	-0.50596
K562	chr2	201850001	201900000	23	-0.52951
K562	chr2	201900001	201950000	21	-0.56168
K562	chr2	201950001	202000000	29	-0.39045
K562	chr2	202000001	202050000	40	-0.26898
K562	chr2	202050001	202100000	21	-0.35528
K562	chr2	202100001	202150000	27	-0.44481
K562	chr2	202150001	202250000	42	-0.2136
K562	chr2	202250001	202350000	45	-0.39076
K562	chr2	202350001	202450000	31	-0.15723
K562	chr2	202450001	202650000	39	-0.22498
K562	chr2	202650001	202850000	30	-0.31018
K562	chr2	202850001	203000000	43	-0.31266
K562	chr2	203000001	203200000	34	-0.28115
K562	chr2	203200001	203300000	23	-0.14037
K562	chr2	203300001	203350000	25	-0.12557
K562	chr2	203350001	203500000	35	-0.41205
K562	chr2	203500001	203600000	32	-0.31301
K562	chr2	203600001	203700000	26	-0.50733
K562	chr2	203700001	203750000	21	-0.56267
K562	chr2	203750001	203900000	48	-0.46909
K562	chr2	203900001	204100000	44	-0.6608
K562	chr2	204100001	204300000	38	-0.46008
K562	chr2	204300001	204500000	30	-0.53776
K562	chr2	204500001	204850000	44	-0.36238
K562	chr2	204850001	205250000	40	-0.61235
K562	chr2	205250001	205450000	25	-0.5415
K562	chr2	205450001	205650000	31	-0.58487
K562	chr2	205650001	205700000	46	-0.41899
K562	chr2	205700001	205750000	35	-0.36507
K562	chr2	205750001	205900000	50	-0.40184
K562	chr2	205900001	205950000	20	-0.36913
K562	chr2	205950001	206050000	27	-0.43191
K562	chr2	206050001	206150000	35	-0.1878
K562	chr2	206150001	206200000	32	-0.13164
K562	chr2	206200001	206250000	28	-0.40825
K562	chr2	206250001	206400000	38	-0.3822
K562	chr2	206400001	206600000	34	-0.4969
K562	chr2	206600001	206750000	53	-0.59205
K562	chr2	206750001	206800000	30	-0.38468
K562	chr2	206800001	206950000	34	-0.60544
K562	chr2	206950001	207100000	33	-0.62665
K562	chr2	207100001	207150000	35	-0.50229
K562	chr2	207150001	207200000	38	-0.45821
K562	chr2	207200001	207250000	23	-0.40752
K562	chr2	207250001	207300000	22	-0.63462
K562	chr2	207300001	207500000	54	-0.48163
K562	chr2	207500001	207600000	42	-0.29187
K562	chr2	207600001	207700000	65	-0.33847
K562	chr2	207700001	207750000	24	-0.20167
K562	chr2	207750001	207800000	40	-0.26215
K562	chr2	207800001	207950000	53	-0.40686
K562	chr2	207950001	208000000	21	-0.35528
K562	chr2	208000001	208100000	47	-0.32395
K562	chr2	208100001	208150000	40	-0.44829
K562	chr2	208150001	208250000	40	-0.41245
K562	chr2	208250001	208350000	46	-0.19643
K562	chr2	208350001	208450000	38	-0.36418
K562	chr2	208450001	208900000	26	-0.38722
K562	chr2	208900001	209400000	31	-0.44556
K562	chr2	209400001	209550000	28	-0.59458
K562	chr2	209550001	209650000	20	-0.50131
K562	chr2	209650001	209800000	40	-0.44892
K562	chr2	209800001	210000000	28	-0.56189
K562	chr2	210000001	210150000	25	-0.37178
K562	chr2	210150001	210200000	28	-0.20986
K562	chr2	210200001	210300000	21	-0.31914
K562	chr2	210300001	210450000	24	-0.63615
K562	chr2	210450001	210550000	32	-0.36317
K562	chr2	210550001	210600000	23	-0.63662
K562	chr2	210600001	211350000	31	-0.61717
K562	chr2	211350001	211700000	27	-0.73961
K562	chr2	211700001	212500000	51	-0.64058
K562	chr2	212500001	213000000	83	-0.61232
K562	chr2	213000001	213150000	30	-0.69573
K562	chr2	213150001	213250000	55	-0.62432
K562	chr2	213250001	213700000	34	-0.28267
K562	chr2	213700001	214400000	24	-0.63687
K562	chr2	214400001	214800000	39	-0.56303
K562	chr2	214800001	215100000	46	-0.4318
K562	chr2	215100001	215300000	33	-0.50112
K562	chr2	215300001	215350000	33	-0.12268
K562	chr2	215350001	215400000	31	-0.50459
K562	chr2	215400001	215500000	46	-0.49388
K562	chr2	215500001	215650000	46	-0.46141
K562	chr2	215650001	215800000	51	-0.44246
K562	chr2	215800001	215900000	36	-0.54572
K562	chr2	215900001	216000000	37	-0.40305
K562	chr2	216000001	216050000	43	-0.32959
K562	chr2	216050001	216100000	30	-0.19638
K562	chr2	216100001	216250000	55	-0.35139
K562	chr2	216250001	216350000	31	-0.45815
K562	chr2	216350001	216400000	34	-0.27356
K562	chr2	216400001	216450000	39	-0.34219
K562	chr2	216450001	216550000	38	-0.28674
K562	chr2	216550001	216600000	29	-0.45033
K562	chr2	216600001	216650000	28	-0.25001
K562	chr2	216650001	216750000	92	-0.31318
K562	chr2	216750001	216850000	35	-0.42486
K562	chr2	216850001	216900000	33	-0.4577
K562	chr2	216900001	217050000	36	-0.44385
K562	chr2	217050001	217150000	27	-0.41451
K562	chr2	217150001	217250000	31	-0.50723
K562	chr2	217250001	217350000	35	-0.53249
K562	chr2	217350001	217600000	42	-0.51337
K562	chr2	217600001	217750000	37	-0.52324
K562	chr2	217750001	217800000	21	-0.22972
K562	chr2	217800001	217850000	36	-0.27334
K562	chr2	217850001	217900000	33	-0.42799
K562	chr2	217900001	217950000	52	-0.32742
K562	chr2	217950001	218000000	29	-0.27545
K562	chr2	218000001	218050000	35	-0.24309
K562	chr2	218050001	218150000	40	-0.24874
K562	chr2	218150001	218200000	23	-0.27661
K562	chr2	218200001	218250000	40	-0.14965
K562	chr2	218250001	218300000	92	-0.05457
K562	chr2	218300001	218350000	42	-0.18149
K562	chr2	218350001	218400000	73	-0.11857
K562	chr2	218400001	218550000	64	-0.13497
K562	chr2	218550001	218600000	32	-0.27582
K562	chr2	218600001	218650000	29	-0.27498
K562	chr2	218650001	218700000	65	-0.24124
K562	chr2	218700001	218750000	40	-0.3003
K562	chr2	218750001	218800000	23	-0.33728
K562	chr2	218800001	218850000	31	-0.40002
K562	chr2	218850001	218950000	97	-0.11109
K562	chr2	218950001	219000000	102	-0.1384
K562	chr2	219000001	219050000	63	-0.22888
K562	chr2	219050001	219150000	60	-0.21994
K562	chr2	219150001	219200000	65	-0.14916
K562	chr2	219200001	219250000	117	-0.1118
K562	chr2	219250001	219300000	84	-0.08656
K562	chr2	219300001	219350000	37	-0.35257
K562	chr2	219350001	219400000	44	-0.2304
K562	chr2	219400001	219450000	83	-0.16152
K562	chr2	219450001	219500000	79	-0.07324
K562	chr2	219500001	219550000	89	0.00332
K562	chr2	219550001	219600000	90	-0.13092
K562	chr2	219600001	219700000	61	-0.11081
K562	chr2	219700001	219950000	58	-0.41258
K562	chr2	219950001	220250000	48	-0.5377
K562	chr2	220250001	220650000	28	-0.66669
K562	chr2	220650001	221400000	51	-0.74121
K562	chr2	221400001	221550000	40	-0.66988
